STUDYID	EXPID	CPD_ID	BATCH_ID	EXT_CPD_ID	EXT_BATCH_ID	SITE	PROVENANCE	EXPERIMENT_DATE	BIOMATERIAL	SPECIES_NAME	BACTERIAL_STRAIN_NAME	BACTERIAL_STRAIN_SITE_REF	EXPERIMENT_TYPE	PROTOCOL_NAME	No of replicates	RESULT_TYPE	STATISTICAL_METHOD	RESULT_OPERATOR	RESULT_VALUE	RESULT_UNIT	#NA (not applicable).2	MEDIUM	CONTROL_GROUP	RESULT_STATUS	COMMENTS	BIOMATERIAL_annotation	BACTERIAL_STRAIN_NAME_annotation	EXPERIMENT_TYPE_annotation	MEDIUM_annotation	RESULT_UNIT_annotation	SPECIES_NAME_annotation	STATISTICAL_METHOD_annotation
502_NBT_MacGowan	ELN-NBT-21182	Amikacin disulfate	AA173560000026523			NBT	alan.noel@nbt.nhs.uk	2021-02-18 00:00:00	Bacteria		KLEOX 88760		MIC	GNA-NOW_NBT_protocol_v03.pdf		MIC	Single value	=	1	mg/L		MHB2		V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:88760KLEOX', 'name': 'KLEOX 88760', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'ARO:3004370', 'name': 'MIC', 'experimental_type': 'Minimum inhibitory concentration (MIC)', 'modified_name': 'MIC', 'definition': 'Minimal Inhibitory Concentration'}	{'curie': 'SIGMA:90922', 'name': 'MHB2', 'medium_acronym': 'MHB2', 'medium_name': 'Mueller Hinton Broth 2 (MHB2)', 'medium_pH': '', 'medium_additives': ''}	{'curie': 'UO:0000273', 'name': 'mg/L', 'unit_full_name': 'Milligram per liter'}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
502_NBT_MacGowan	ELN-NBT-21183	Amikacin disulfate	AA173560000026523			NBT	alan.noel@nbt.nhs.uk	2021-02-18 00:00:00	Bacteria		KLEOX 81422		MIC	GNA-NOW_NBT_protocol_v03.pdf		MIC	Single value	=	1	mg/L		MHB2		V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:81422KLEOX', 'name': 'KLEOX 81422', 'sample': 'Tissue', 'category': 'Quinolone S'}	{'curie': 'ARO:3004370', 'name': 'MIC', 'experimental_type': 'Minimum inhibitory concentration (MIC)', 'modified_name': 'MIC', 'definition': 'Minimal Inhibitory Concentration'}	{'curie': 'SIGMA:90922', 'name': 'MHB2', 'medium_acronym': 'MHB2', 'medium_name': 'Mueller Hinton Broth 2 (MHB2)', 'medium_pH': '', 'medium_additives': ''}	{'curie': 'UO:0000273', 'name': 'mg/L', 'unit_full_name': 'Milligram per liter'}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
502_NBT_MacGowan	ELN-NBT-21184	Amikacin disulfate	AA173560000026523			NBT	alan.noel@nbt.nhs.uk	2021-02-18 00:00:00	Bacteria		KLEOX 79245		MIC	GNA-NOW_NBT_protocol_v03.pdf		MIC	Single value	=	1	mg/L		MHB2		V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:79245KLEOX', 'name': 'KLEOX 79245', 'sample': 'Plueral fluid', 'category': 'Quinolone S'}	{'curie': 'ARO:3004370', 'name': 'MIC', 'experimental_type': 'Minimum inhibitory concentration (MIC)', 'modified_name': 'MIC', 'definition': 'Minimal Inhibitory Concentration'}	{'curie': 'SIGMA:90922', 'name': 'MHB2', 'medium_acronym': 'MHB2', 'medium_name': 'Mueller Hinton Broth 2 (MHB2)', 'medium_pH': '', 'medium_additives': ''}	{'curie': 'UO:0000273', 'name': 'mg/L', 'unit_full_name': 'Milligram per liter'}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
502_NBT_MacGowan	ELN-NBT-21185	Amikacin disulfate	AA173560000026523			NBT	alan.noel@nbt.nhs.uk	2021-02-18 00:00:00	Bacteria		KLEPN 74257		MIC	GNA-NOW_NBT_protocol_v03.pdf		MIC	Single value	=	1	mg/L		MHB2		V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:74257KLEPN', 'name': 'KLEPN 74257', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'ARO:3004370', 'name': 'MIC', 'experimental_type': 'Minimum inhibitory concentration (MIC)', 'modified_name': 'MIC', 'definition': 'Minimal Inhibitory Concentration'}	{'curie': 'SIGMA:90922', 'name': 'MHB2', 'medium_acronym': 'MHB2', 'medium_name': 'Mueller Hinton Broth 2 (MHB2)', 'medium_pH': '', 'medium_additives': ''}	{'curie': 'UO:0000273', 'name': 'mg/L', 'unit_full_name': 'Milligram per liter'}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
502_NBT_MacGowan	ELN-NBT-21186	Amikacin disulfate	AA173560000026523			NBT	alan.noel@nbt.nhs.uk	2021-02-18 00:00:00	Bacteria		KLEPN 89522		MIC	GNA-NOW_NBT_protocol_v03.pdf		MIC	Single value	=	1	mg/L		MHB2		V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:89522KLEPN', 'name': 'KLEPN 89522', 'sample': 'CSF', 'category': 'Quinolone S'}	{'curie': 'ARO:3004370', 'name': 'MIC', 'experimental_type': 'Minimum inhibitory concentration (MIC)', 'modified_name': 'MIC', 'definition': 'Minimal Inhibitory Concentration'}	{'curie': 'SIGMA:90922', 'name': 'MHB2', 'medium_acronym': 'MHB2', 'medium_name': 'Mueller Hinton Broth 2 (MHB2)', 'medium_pH': '', 'medium_additives': ''}	{'curie': 'UO:0000273', 'name': 'mg/L', 'unit_full_name': 'Milligram per liter'}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
502_NBT_MacGowan	ELN-NBT-21187	Amikacin disulfate	AA173560000026523			NBT	alan.noel@nbt.nhs.uk	2021-02-18 00:00:00	Bacteria		KLEPN 89514		MIC	GNA-NOW_NBT_protocol_v03.pdf		MIC	Single value	=	2	mg/L		MHB2		V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:89514KLEPN', 'name': 'KLEPN 89514', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'ARO:3004370', 'name': 'MIC', 'experimental_type': 'Minimum inhibitory concentration (MIC)', 'modified_name': 'MIC', 'definition': 'Minimal Inhibitory Concentration'}	{'curie': 'SIGMA:90922', 'name': 'MHB2', 'medium_acronym': 'MHB2', 'medium_name': 'Mueller Hinton Broth 2 (MHB2)', 'medium_pH': '', 'medium_additives': ''}	{'curie': 'UO:0000273', 'name': 'mg/L', 'unit_full_name': 'Milligram per liter'}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
502_NBT_MacGowan	ELN-NBT-21188	Amikacin disulfate	AA173560000026523			NBT	alan.noel@nbt.nhs.uk	2021-02-18 00:00:00	Bacteria		KLEPN 89249		MIC	GNA-NOW_NBT_protocol_v03.pdf		MIC	Single value	=	0.5	mg/L		MHB2		V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:89249KLEPN', 'name': 'KLEPN 89249', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'ARO:3004370', 'name': 'MIC', 'experimental_type': 'Minimum inhibitory concentration (MIC)', 'modified_name': 'MIC', 'definition': 'Minimal Inhibitory Concentration'}	{'curie': 'SIGMA:90922', 'name': 'MHB2', 'medium_acronym': 'MHB2', 'medium_name': 'Mueller Hinton Broth 2 (MHB2)', 'medium_pH': '', 'medium_additives': ''}	{'curie': 'UO:0000273', 'name': 'mg/L', 'unit_full_name': 'Milligram per liter'}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
502_NBT_MacGowan	ELN-NBT-21189	Amikacin disulfate	AA173560000026523			NBT	alan.noel@nbt.nhs.uk	2021-02-18 00:00:00	Bacteria		KLEPN 88922		MIC	GNA-NOW_NBT_protocol_v03.pdf		MIC	Single value	=	0.5	mg/L		MHB2		V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:88922KLEPN', 'name': 'KLEPN 88922', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'ARO:3004370', 'name': 'MIC', 'experimental_type': 'Minimum inhibitory concentration (MIC)', 'modified_name': 'MIC', 'definition': 'Minimal Inhibitory Concentration'}	{'curie': 'SIGMA:90922', 'name': 'MHB2', 'medium_acronym': 'MHB2', 'medium_name': 'Mueller Hinton Broth 2 (MHB2)', 'medium_pH': '', 'medium_additives': ''}	{'curie': 'UO:0000273', 'name': 'mg/L', 'unit_full_name': 'Milligram per liter'}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
502_NBT_MacGowan	ELN-NBT-21190	Amikacin disulfate	AA173560000026523			NBT	alan.noel@nbt.nhs.uk	2021-02-18 00:00:00	Bacteria		KLEPN 88684		MIC	GNA-NOW_NBT_protocol_v03.pdf		MIC	Single value	=	0.5	mg/L		MHB2		V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:88684KLEPN', 'name': 'KLEPN 88684', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'ARO:3004370', 'name': 'MIC', 'experimental_type': 'Minimum inhibitory concentration (MIC)', 'modified_name': 'MIC', 'definition': 'Minimal Inhibitory Concentration'}	{'curie': 'SIGMA:90922', 'name': 'MHB2', 'medium_acronym': 'MHB2', 'medium_name': 'Mueller Hinton Broth 2 (MHB2)', 'medium_pH': '', 'medium_additives': ''}	{'curie': 'UO:0000273', 'name': 'mg/L', 'unit_full_name': 'Milligram per liter'}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
502_NBT_MacGowan	ELN-NBT-21191	Amikacin disulfate	AA173560000026523			NBT	alan.noel@nbt.nhs.uk	2021-02-18 00:00:00	Bacteria		KLEPN 88174		MIC	GNA-NOW_NBT_protocol_v03.pdf		MIC	Single value	=	0.5	mg/L		MHB2		V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:88174KLEPN', 'name': 'KLEPN 88174', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'ARO:3004370', 'name': 'MIC', 'experimental_type': 'Minimum inhibitory concentration (MIC)', 'modified_name': 'MIC', 'definition': 'Minimal Inhibitory Concentration'}	{'curie': 'SIGMA:90922', 'name': 'MHB2', 'medium_acronym': 'MHB2', 'medium_name': 'Mueller Hinton Broth 2 (MHB2)', 'medium_pH': '', 'medium_additives': ''}	{'curie': 'UO:0000273', 'name': 'mg/L', 'unit_full_name': 'Milligram per liter'}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
