GROUP_DESCRIPTION	ANIMAL	ANIMAL_ID	PRETREATMENT_CPD_ID	PRETREATMENT_BATCH_ID	PRETREATMENT_DOSING_INFO	PRETREATMENT_DOSE	PRETREATMENT_ROUTE_OF_ADMINSTRATION	BACTERIAL_STRAIN_NAME	BACTERIAL_STRAIN_DOSE	INFECTION_ROUTE	CPD_ID	BATCH_ID	EXT_CPD_ID	EXT_BATCH_ID	DOSING_INFO	FREQUENCY	DOSE	TDD	ROUTE_OF_ADMINISTRATION	COMMENT	STUDYID	STUDY_TYPE	EXPID	SITE	PROJECT_LICENCE_NUMBER	STUDY_START_DATE	STUDY_PROTOCOL_NAME	PROVENANCE	SPECIES_NAME	ANIMAL_STRAIN	ANIMAL_SEX	ANIMAL_AGE_RANGE	ANIMAL_BODYWEIGHT_MEAN	ANIMAL_BODYWEIGHT_RANGE	ANIMAL_VENDOR	HOUSING_CAGE_NO_ANIMALS	HOUSING_CAGE_SIZE	HOUSING_FOOD	HOUSING_FOOD_RESTRICTED	HOUSING_FOOD_SUPPLEMENT	HOUSING_LIGHT_DARK_CYCLE	EXPERIMENT_TYPE	BIOMATERIAL	EXPERIMENT_DATE	PROTOCOL_NAME	PLANNED_RELATIVE_TIMEPOINT	RELATIVE_TIMEPOINT	RESULT_TYPE	STATISTICAL_METHOD	RESULT_OPERATOR	RESULT_VALUE	RESULT_UNIT	CONTROL_GROUP	RESULT_STATUS	COMMENTS	CHECK	CHECK.1	Experiment	BIOMATERIAL_annotation	BACTERIAL_STRAIN_NAME_annotation	EXPERIMENT_TYPE_annotation	RESULT_UNIT_annotation	ROUTE_OF_ADMINISTRATION_annotation	INFECTION_ROUTE_annotation	PRETREATMENT_ROUTE_OF_ADMINSTRATION_annotation	ANIMAL_SEX_annotation	SPECIES_NAME_annotation	STATISTICAL_METHOD_annotation	STUDY_TYPE_annotation
Treated-01	1	1	Cyclophosphaminde		repeated dose	150 (-96h)/ 100 (-24h)	i.p.	E. coli ATCC 25922	5000000	i.m.	NOSO-502	23-21-0089-01	NOSO-502		single dose	1	11	11	s.c.		1. PK		Pharmacokinetics study	EMC				s.vandenberg@erasmusmc.nl														NOSO-502 plasma concentration (ng/mL)	Animal	2022-03-07 00:00:00	DOI: 10.1093/jac/dkae469	0.5	0.5	NOSO-502 plasma concentration (ng/mL)	Single value	=	9569.2	ng/mL		V (valid)				ExperimentResults_01	{'curie': 'NCIT:C14182', 'name': 'Animal'}			{'curie': 'UO:0000275', 'name': 'ng/mL', 'unit_full_name': 'Nanogram per milliliter'}	{'curie': 'OBI:0000954', 'name': 's.c.', 'roa_full_name': 'subcutaneous injection', 'xrefs': 'NCIT:C38299, VO:0000532', 'synonyms': 'subcutaneous route'}	{'curie': 'OBI:0000934', 'name': 'i.m.', 'roa_full_name': 'intramuscular injection', 'xrefs': 'NCIT:C28161, VO:0000340', 'synonyms': 'intramuscular route'}	{'curie': 'OBI:0000281', 'name': 'i.p.', 'roa_full_name': 'intraperitoneal injection', 'xrefs': 'NCIT:C38258, VO:0000344', 'synonyms': 'intraperitoneal route'}			{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}	
Treated-01	2	2	Cyclophosphaminde		repeated dose	150 (-96h)/ 100 (-24h)	i.p.	E. coli ATCC 25922	5000000		NOSO-502	23-21-0089-01	NOSO-502		single dose	1	11	11	s.c.		1. PK		Pharmacokinetics study	EMC				s.vandenberg@erasmusmc.nl														NOSO-502 plasma concentration (ng/mL)	Animal	2022-03-07 00:00:00	DOI: 10.1093/jac/dkae469	0.5	0.5	NOSO-502 plasma concentration (ng/mL)	Single value	=	9122.6	ng/mL		V (valid)				ExperimentResults_01	{'curie': 'NCIT:C14182', 'name': 'Animal'}			{'curie': 'UO:0000275', 'name': 'ng/mL', 'unit_full_name': 'Nanogram per milliliter'}	{'curie': 'OBI:0000954', 'name': 's.c.', 'roa_full_name': 'subcutaneous injection', 'xrefs': 'NCIT:C38299, VO:0000532', 'synonyms': 'subcutaneous route'}		{'curie': 'OBI:0000281', 'name': 'i.p.', 'roa_full_name': 'intraperitoneal injection', 'xrefs': 'NCIT:C38258, VO:0000344', 'synonyms': 'intraperitoneal route'}			{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}	
Treated-01	3	3	Cyclophosphaminde		repeated dose	150 (-96h)/ 100 (-24h)	i.p.	E. coli ATCC 25922	5000000		NOSO-502	23-21-0089-01	NOSO-502		single dose	1	11	11	s.c.		1. PK		Pharmacokinetics study	EMC				s.vandenberg@erasmusmc.nl														NOSO-502 plasma concentration (ng/mL)	Animal	2022-03-07 00:00:00	DOI: 10.1093/jac/dkae469	0.5	0.5	NOSO-502 plasma concentration (ng/mL)	Single value	=	8841	ng/mL		V (valid)				ExperimentResults_01	{'curie': 'NCIT:C14182', 'name': 'Animal'}			{'curie': 'UO:0000275', 'name': 'ng/mL', 'unit_full_name': 'Nanogram per milliliter'}	{'curie': 'OBI:0000954', 'name': 's.c.', 'roa_full_name': 'subcutaneous injection', 'xrefs': 'NCIT:C38299, VO:0000532', 'synonyms': 'subcutaneous route'}		{'curie': 'OBI:0000281', 'name': 'i.p.', 'roa_full_name': 'intraperitoneal injection', 'xrefs': 'NCIT:C38258, VO:0000344', 'synonyms': 'intraperitoneal route'}			{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}	
Treated-02	4	4	Cyclophosphaminde		repeated dose	150 (-96h)/ 100 (-24h)	i.p.	E. coli ATCC 25922	5000000		NOSO-502	23-21-0089-01	NOSO-502		single dose	1	11	11	s.c.		1. PK		Pharmacokinetics study	EMC				s.vandenberg@erasmusmc.nl														NOSO-502 plasma concentration (ng/mL)	Animal	2022-03-07 00:00:00	DOI: 10.1093/jac/dkae469	1	1	NOSO-502 plasma concentration (ng/mL)	Single value	=	6438.8	ng/mL		V (valid)				ExperimentResults_01	{'curie': 'NCIT:C14182', 'name': 'Animal'}			{'curie': 'UO:0000275', 'name': 'ng/mL', 'unit_full_name': 'Nanogram per milliliter'}	{'curie': 'OBI:0000954', 'name': 's.c.', 'roa_full_name': 'subcutaneous injection', 'xrefs': 'NCIT:C38299, VO:0000532', 'synonyms': 'subcutaneous route'}		{'curie': 'OBI:0000281', 'name': 'i.p.', 'roa_full_name': 'intraperitoneal injection', 'xrefs': 'NCIT:C38258, VO:0000344', 'synonyms': 'intraperitoneal route'}			{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}	
Treated-02	5	5	Cyclophosphaminde		repeated dose	150 (-96h)/ 100 (-24h)	i.p.	E. coli ATCC 25922	5000000		NOSO-502	23-21-0089-01	NOSO-502		single dose	1	11	11	s.c.		1. PK		Pharmacokinetics study	EMC				s.vandenberg@erasmusmc.nl														NOSO-502 plasma concentration (ng/mL)	Animal	2022-03-07 00:00:00	DOI: 10.1093/jac/dkae469	1	1	NOSO-502 plasma concentration (ng/mL)	Single value	=	5782.6	ng/mL		V (valid)				ExperimentResults_01	{'curie': 'NCIT:C14182', 'name': 'Animal'}			{'curie': 'UO:0000275', 'name': 'ng/mL', 'unit_full_name': 'Nanogram per milliliter'}	{'curie': 'OBI:0000954', 'name': 's.c.', 'roa_full_name': 'subcutaneous injection', 'xrefs': 'NCIT:C38299, VO:0000532', 'synonyms': 'subcutaneous route'}		{'curie': 'OBI:0000281', 'name': 'i.p.', 'roa_full_name': 'intraperitoneal injection', 'xrefs': 'NCIT:C38258, VO:0000344', 'synonyms': 'intraperitoneal route'}			{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}	
Treated-02	6	6	Cyclophosphaminde		repeated dose	150 (-96h)/ 100 (-24h)	i.p.	E. coli ATCC 25922	5000000		NOSO-502	23-21-0089-01	NOSO-502		single dose	1	11	11	s.c.		1. PK		Pharmacokinetics study	EMC				s.vandenberg@erasmusmc.nl														NOSO-502 plasma concentration (ng/mL)	Animal	2022-03-07 00:00:00	DOI: 10.1093/jac/dkae469	1	1	NOSO-502 plasma concentration (ng/mL)	Single value	=	7409.9	ng/mL		V (valid)				ExperimentResults_01	{'curie': 'NCIT:C14182', 'name': 'Animal'}			{'curie': 'UO:0000275', 'name': 'ng/mL', 'unit_full_name': 'Nanogram per milliliter'}	{'curie': 'OBI:0000954', 'name': 's.c.', 'roa_full_name': 'subcutaneous injection', 'xrefs': 'NCIT:C38299, VO:0000532', 'synonyms': 'subcutaneous route'}		{'curie': 'OBI:0000281', 'name': 'i.p.', 'roa_full_name': 'intraperitoneal injection', 'xrefs': 'NCIT:C38258, VO:0000344', 'synonyms': 'intraperitoneal route'}			{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}	
Treated-03	7	7	Cyclophosphaminde		repeated dose	150 (-96h)/ 100 (-24h)	i.p.	E. coli ATCC 25922	5000000		NOSO-502	23-21-0089-01	NOSO-502		single dose	1	11	11	s.c.		1. PK		Pharmacokinetics study	EMC				s.vandenberg@erasmusmc.nl														NOSO-502 plasma concentration (ng/mL)	Animal	2022-03-07 00:00:00	DOI: 10.1093/jac/dkae469	2	2	NOSO-502 plasma concentration (ng/mL)	Single value	=	1449.1	ng/mL		V (valid)				ExperimentResults_01	{'curie': 'NCIT:C14182', 'name': 'Animal'}			{'curie': 'UO:0000275', 'name': 'ng/mL', 'unit_full_name': 'Nanogram per milliliter'}	{'curie': 'OBI:0000954', 'name': 's.c.', 'roa_full_name': 'subcutaneous injection', 'xrefs': 'NCIT:C38299, VO:0000532', 'synonyms': 'subcutaneous route'}		{'curie': 'OBI:0000281', 'name': 'i.p.', 'roa_full_name': 'intraperitoneal injection', 'xrefs': 'NCIT:C38258, VO:0000344', 'synonyms': 'intraperitoneal route'}			{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}	
Treated-03	8	8	Cyclophosphaminde		repeated dose	150 (-96h)/ 100 (-24h)	i.p.	E. coli ATCC 25922	5000000		NOSO-502	23-21-0089-01	NOSO-502		single dose	1	11	11	s.c.		1. PK		Pharmacokinetics study	EMC				s.vandenberg@erasmusmc.nl														NOSO-502 plasma concentration (ng/mL)	Animal	2022-03-07 00:00:00	DOI: 10.1093/jac/dkae469	2	2	NOSO-502 plasma concentration (ng/mL)	Single value	=	1316.4	ng/mL		V (valid)				ExperimentResults_01	{'curie': 'NCIT:C14182', 'name': 'Animal'}			{'curie': 'UO:0000275', 'name': 'ng/mL', 'unit_full_name': 'Nanogram per milliliter'}	{'curie': 'OBI:0000954', 'name': 's.c.', 'roa_full_name': 'subcutaneous injection', 'xrefs': 'NCIT:C38299, VO:0000532', 'synonyms': 'subcutaneous route'}		{'curie': 'OBI:0000281', 'name': 'i.p.', 'roa_full_name': 'intraperitoneal injection', 'xrefs': 'NCIT:C38258, VO:0000344', 'synonyms': 'intraperitoneal route'}			{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}	
Treated-03	9	9	Cyclophosphaminde		repeated dose	150 (-96h)/ 100 (-24h)	i.p.	E. coli ATCC 25922	5000000		NOSO-502	23-21-0089-01	NOSO-502		single dose	1	11	11	s.c.		1. PK		Pharmacokinetics study	EMC				s.vandenberg@erasmusmc.nl														NOSO-502 plasma concentration (ng/mL)	Animal	2022-03-07 00:00:00	DOI: 10.1093/jac/dkae469	2	2	NOSO-502 plasma concentration (ng/mL)	Single value	=	1482.5	ng/mL		V (valid)				ExperimentResults_01	{'curie': 'NCIT:C14182', 'name': 'Animal'}			{'curie': 'UO:0000275', 'name': 'ng/mL', 'unit_full_name': 'Nanogram per milliliter'}	{'curie': 'OBI:0000954', 'name': 's.c.', 'roa_full_name': 'subcutaneous injection', 'xrefs': 'NCIT:C38299, VO:0000532', 'synonyms': 'subcutaneous route'}		{'curie': 'OBI:0000281', 'name': 'i.p.', 'roa_full_name': 'intraperitoneal injection', 'xrefs': 'NCIT:C38258, VO:0000344', 'synonyms': 'intraperitoneal route'}			{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}	
Treated-04	10	10	Cyclophosphaminde		repeated dose	150 (-96h)/ 100 (-24h)	i.p.	E. coli ATCC 25922	5000000		NOSO-502	23-21-0089-01	NOSO-502		single dose	1	11	11	s.c.		1. PK		Pharmacokinetics study	EMC				s.vandenberg@erasmusmc.nl														NOSO-502 plasma concentration (ng/mL)	Animal	2022-03-07 00:00:00	DOI: 10.1093/jac/dkae469	4	4	NOSO-502 plasma concentration (ng/mL)	Single value	=	178.7	ng/mL		V (valid)				ExperimentResults_01	{'curie': 'NCIT:C14182', 'name': 'Animal'}			{'curie': 'UO:0000275', 'name': 'ng/mL', 'unit_full_name': 'Nanogram per milliliter'}	{'curie': 'OBI:0000954', 'name': 's.c.', 'roa_full_name': 'subcutaneous injection', 'xrefs': 'NCIT:C38299, VO:0000532', 'synonyms': 'subcutaneous route'}		{'curie': 'OBI:0000281', 'name': 'i.p.', 'roa_full_name': 'intraperitoneal injection', 'xrefs': 'NCIT:C38258, VO:0000344', 'synonyms': 'intraperitoneal route'}			{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}	
