Label	Site-specific Study Identifier	Site-specific Experiment Identifier	Internal  Compound ID	Internal  Compound Batch ID	External  Compound ID	External  Batch ID	Site Identifier	Data Provenance Information	Date of Assessment/Experiment	Biomaterial	Species 	Bacterial Strain	Site-specific Bacterial Strain Identifier	Assessment/Experiment	Protocol	Factors	Factors	Factors	Result Type	Statistical method	Result Operator	Result	Unit	Variation	Medium	Control Group	Validation	Comments
Comments/Description	Study number	Experiment number (e.g. from ELN)	Internal  Compound ID	Internal  Batch ID	External  Compound ID	External  Batch ID	Site/Lab where assessment/experiment was conducted	Internal Contact information for additional information on the experiment			If animal, cell or tissue was selected in column K specify species		This column can be used to add a site-specific Bacterial Strain Identifier	Name of assessment	Name of protocol (provide as PDF)	These columns can be used to add experimental factors. Please choose a column name from the drop-down list	These columns can be used to add experimental factors. Please choose a column name from the drop-down list	These columns can be used to add experimental factors. Please choose a column name from the drop-down list		Statistical method used to calculate the result (e.g. Average, Mode, Median)		Format to be remain consistent per experiment/assessment	Optional for assessment which are qualitative or based on observations (e.g. ABNORMAL/NORMAL)	For aggregated values choose a method to report deviations	Medium used for experiment/assessment	Calculation of the result type based on which type of control		Any additional pertinent information regarding an assessment/experiment which is useful for the interpretation of the data e.g. dosing regimen etc.
Format	VARCHAR	VARCHAR	VARCHAR	VARCHAR	VARCHAR	VARCHAR	VARCHAR	VARCHAR	DATE (YYYY-MM-DD)	VARCHAR	VARCHAR	VARCHAR	VARCHAR	VARCHAR	VARCHAR	VARCHAR/NUM	VARCHAR/NUM	VARCHAR/NUM	VARCHAR	VARCHAR	VARCHAR	VARCHAR/NUM	VARCHAR	NUM	VARCHAR	VARCHAR	VARCHAR	VARCHAR
Required (R) or  Optional (O)	R	R	R	R	O	O	R	R	R	R	R	R	O	R	R	O	O	O	R	R	R	R	R	O	R	R	R	R
Variable	STUDYID	EXPID	CPD_ID	BATCH_ID	EXT_CPD_ID	EXT_BATCH_ID	SITE	PROVENANCE	EXPERIMENT_DATE	BIOMATERIAL	SPECIES_NAME	BACTERIAL_STRAIN_NAME	BACTERIAL_STRAIN_SITE_REF	EXPERIMENT_TYPE	PROTOCOL_NAME	No of replicates	#NA (not applicable)	#NA (not applicable)	RESULT_TYPE	STATISTICAL_METHOD	RESULT_OPERATOR	RESULT_VALUE	RESULT_UNIT	StdDev	MEDIUM	CONTROL_GROUP	RESULT_STATUS	COMMENTS
	GNA-NOW_EMC_01	ELN-AK-25667	CPD_0001	BATCH_ID_AYC789	Compound-A-0001	BATCH-AYC	EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria	#NA (not applicable)	ESCCO 25922		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf				FoR	Single value	=	0.0000001964285714	No Unit		MHB with agarose	plates without compound	V (valid)	
	GNA-NOW_EMC_01	ELN-AK-25667	CPD_0002	BATCH_ID_DGZ159			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria	#NA (not applicable)	ESCCO 25922		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf				FoR	Single value	=	0.0000005714285714	No Unit		MHB with agarose	plates without compound	V (valid)	
	GNA-NOW_EMC_01	ELN-AK-25667	CPD_0003	BATCH_ID_MKG248			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria	#NA (not applicable)	ESCCO 25922		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf				FoR	Single value	<	0	No Unit		MHB with agarose	plates without compound	V (valid)	
	GNA-NOW_EMC_01	ELN-AK-25667	CPD_0004	BATCH_ID_BDO149			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria	#NA (not applicable)	ESCCO 25922		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf				FoR	Single value	=	3.57E-09	No Unit		MHB with agarose	plates without compound	V (valid)	
	GNA-NOW_EMC_01	ELN-AK-25667	CPD_0005	BATCH_ID_JNZ135			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria	#NA (not applicable)	ENTEBU 86397		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf				FoR	Single value	=	0.00000002756662913	No Unit		MHB with agarose	plates without compound	V (valid)	
	GNA-NOW_EMC_01	ELN-AK-25667	CPD_0006	BATCH_ID_OLA378			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria	#NA (not applicable)	ENTEBU 86397		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf				FoR	Single value	=	0.00000007624812312	No Unit		MHB with agarose	plates without compound	V (valid)	
