Label	Site-specific Study Identifier	Site-specific Experiment Identfier	Site Identifier	Data Provenance Information	Bacterial Strain	Internal  Compound ID	Internal  Compound Batch ID	TDD (Dose)	Group	Animal	Animal ID	Experiment Type 	Biomaterial	Date of Assessment/ Experiment	Experimental Protocol	Planned Relative Time point	Actual Relative Time point	Result Type	Statistical method	Result Operator	Result	Unit	Variation	Control Group	Validation	Comments	Data Quality Check 1:  Compound-Batch Match Check	Data Quality Check 2:  BACTERIAL_STRAIN_NAME BACTERIAL_STRAIN_SITE_REF Match Check
Comments/Description	Study number	Experiment number (e.g. from ELN)	Site/Lab where assessment/experiment was conducted	Internal Contact information for additional information on the experiment		Internal  Compound ID	Internal  Batch ID	mg/ kg	Animal grouping in a study	animal number: 1,2,…,x	Lab specific ID of the animals	Sample Type			Name of protocol (provided as PDF)	in hours	in hours		Statistical method used to calculate the result (e.g. Average, Mode, Median)		Format to be remain consistent per experiement/assessment	Optional for assessment which are qualitative or based on observations (e.g. ABNORMAL/NORMAL)	For aggregated values choose a method to report deviations	Calculation of the result type based on which type of control		Any additional pertinent information regarding an assessment/experiment which is useful for the interpretation of the data e.g. dosing regimen etc.	automatic cross-check with dictionary to ensure compound ID and batch ID match	automatic cross-check with dictionary to ensure BACTERIAL_STRAIN_NAME BACTERIAL_STRAIN_SITE_REF match
Format	VARCHAR	VARCHAR	VARCHAR	VARCHAR	VARCHAR	VARCHAR	VARCHAR	NUM	VARCHAR	NUM	VARCHAR/ NUM	VARCHAR	VARCHAR	DATE (YYYY-MM-DD)	VARCHAR	NUM	NUM	VARCHAR	VARCHAR	VARCHAR	VARCHAR/NUM	VARCHAR	NUM	VARCHAR	VARCHAR	VARCHAR	no user input requiered	no user input requiered
Required (R) or  Optional (O)	R	R	R	R	R	R	R	R	R	R	O	R	R	R	R	R	R	R	R	R	R	R	O	R	R	R	if û please check correct spelling of CPD_ID and BATCH_ID as well as whether it's a valid  combination	if û please check correct spelling of BACTERIAL_STRAIN_NAME and BACTERIAL_STRAIN_SITE_REF as well as whether it's a valid  combination
Variable	STUDYID	EXPID	SITE	PROVENANCE	BACTERIAL_STRAIN_NAME	CPD_ID	BATCH_ID	TDD	GROe    UP_DESCRIPTION	ANIMAL	ANIMAL_ID	EXPERIMENT_TYPE	BIOMATERIAL	EXPERIMENT_DATE	PROTOCOL_NAME	PLANNED_RELATIVE_TIMEPOINT	RELATIVE_TIMEPOINT	RESULT_TYPE	STATISTICAL_METHOD	RESULT_OPERATOR	RESULT_VALUE	RESULT_UNIT	#NA (not applicable)	CONTROL_GROUP	RESULT_STATUS	COMMENTS	CHECK	CHECK
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	32	Treated-01	1		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-2.10	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	32	Treated-01	2		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-1.90	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	16	Treated-02	3		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-0.44	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	16	Treated-02	4		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-1.36	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	8	Treated-03	5		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-1.21	No Unit		InfectionControl	V (valid)		û	ü
	GNA-NOW_EMC_357824	ELN-TB-773	EMC	EMC@GNA-NOW.com	KLEPN 43816	CPD_0007	BATCH_ID_PLA886	8	Treated-03	6		Lung CFU	Animal	2019-07-04	Exposure response study_protocol_v8.pdf	6	6	dCFU	Single value	=	-2.61	No Unit		InfectionControl	V (valid)		û	ü
