BACTERIAL_STRAIN_NAME	Curie	Name	Sample	Category	Xrefs	Supplier	Catalog/Product ID	Supplier_Catalog_id	Strain Name
ACIBA 19606						ATCC	123	ATCC_123	E coli
ACIBA 37394	NBT:37394ACIBA	ACIBA 37394	Urine	N/S		NBT	111	NBT_111	
ACIBA 37524	NBT:37524ACIBA	ACIBA 37524	Urine	N/S		NCIT	222345	NCIT_222345	
ACIBA 39788	NBT:39788ACIBA	ACIBA 39788	Blood	N/S		DSMZ			
ACIBA 42167	NBT:42167ACIBA	ACIBA 42167	Blood	N/S					
ACIBA 43137	NBT:43137ACIBA	ACIBA 43137	Blood	N/S					
ACIBA 44640	NBT:44640ACIBA	ACIBA 44640	Blood	CARBR					
ACIBA 44643	NBT:44643ACIBA	ACIBA 44643	Blood	N/S					
ACIBA 44644	NBT:44644ACIBA	ACIBA 44644	Blood	CARBR					
ACIBA 44646	NBT:44646ACIBA	ACIBA 44646	Blood	CARBR					
ACIBA 47570	NBT:47570ACIBA	ACIBA 47570	Tracheal Aspirate	Quinolone S					
ACIBA 49425	NBT:49425ACIBA	ACIBA 49425	Urine	N/S					
ACIBA 50011	NBT:50011ACIBA	ACIBA 50011	Urine	N/S					
ACIBA 50602	NBT:50602ACIBA	ACIBA 50602	Tracheal Aspirate	Quinolone S					
ACIBA 50742	NBT:50742ACIBA	ACIBA 50742	Tissue	Quinolone S					
ACIBA 51777	NBT:51777ACIBA	ACIBA 51777	Urine	N/S					
ACIBA 52892	NBT:52892ACIBA	ACIBA 52892	Wound	N/S					
ACIBA 53615	NBT:53615ACIBA	ACIBA 53615	Sputum	Quinolone S					
ACIBA 53923	NBT:53923ACIBA	ACIBA 53923	Tracheal Aspirate	Quinolone S					
ACIBA 53973	NBT:53973ACIBA	ACIBA 53973	Blood	N/S					
ACIBA 55869	NBT:55869ACIBA	ACIBA 55869	Sputum	Quinolone S					
ACIBA 56079	NBT:56079ACIBA	ACIBA 56079	Fluid	Quinolone S					
ACIBA 57620	NBT:57620ACIBA	ACIBA 57620	CSF	Quinolone S					
ACIBA 58780	NBT:58780ACIBA	ACIBA 58780	Blood	Quinolone S					
ACIBA 59232	NBT:59232ACIBA	ACIBA 59232	ETT	Quinolone S					
ACIBA 59458	NBT:59458ACIBA	ACIBA 59458	Wound	N/S					
ACIBA 61297	NBT:61297ACIBA	ACIBA 61297	Blood	N/S MDR					
ACIBA 66520	NBT:66520ACIBA	ACIBA 66520	Fluid	Quinolone S					
ACIBA 66589	NBT:66589ACIBA	ACIBA 66589	Sputum	N/S					
ACIBA 67786	NBT:67786ACIBA	ACIBA 67786	Tracheal Aspirate	R Quinolone					
ACIBA 69105	NBT:69105ACIBA	ACIBA 69105	Blood	CARBR					
ACIBA 69106	NBT:69106ACIBA	ACIBA 69106	Blood	N/S MDR					
ACIBA 69107									
ACIBA 69113	NBT:69113ACIBA	ACIBA 69113	Blood	CARBR					
ACIBA 69114	NBT:69114ACIBA	ACIBA 69114	Blood	CARBR					
ACIBA 69115	NBT:69115ACIBA	ACIBA 69115	Blood	CARBR					
ACIBA 69116	NBT:69116ACIBA	ACIBA 69116	Blood	CARBR					
ACIBA 69117	NBT:69117ACIBA	ACIBA 69117	Blood	CARBR					
ACIBA 69118	NBT:69118ACIBA	ACIBA 69118	Blood	CARBR					
ACIBA 69119	NBT:69119ACIBA	ACIBA 69119	Blood	N/S MDR					
ACIBA 69120	NBT:69120ACIBA	ACIBA 69120	Blood	N/S MDR					
ACIBA 69121	NBT:69121ACIBA	ACIBA 69121	Blood	CARBR					
ACIBA 69122	NBT:69122ACIBA	ACIBA 69122	Blood	CARBR					
ACIBA 69123	NBT:69123ACIBA	ACIBA 69123	Blood	N/S MDR					
ACIBA 69544	NBT:69544ACIBA	ACIBA 69544	Tissue	R Quinolone					
ACIBA 74416	NBT:74416ACIBA	ACIBA 74416	Sputum	CARBR					
ACIBA 74417	NBT:74417ACIBA	ACIBA 74417	Blood	N/S MDR					
ACIBA 74456	NBT:74456ACIBA	ACIBA 74456	Blood	N/S MDR					
ACIBA 74457	NBT:74457ACIBA	ACIBA 74457	Blood	N/S MDR					
ACIBA 74458	NBT:74458ACIBA	ACIBA 74458	Blood	N/S MDR					
ACIBA 74459	NBT:74459ACIBA	ACIBA 74459	Blood	N/S MDR					
ACIBA 74460	NBT:74460ACIBA	ACIBA 74460	Blood	N/S MDR					
ACIBA 74461	NBT:74461ACIBA	ACIBA 74461	Blood	N/S MDR					
ACIBA 74462	NBT:74462ACIBA	ACIBA 74462	Blood	N/S MDR					
ACIBA 74463	NBT:74463ACIBA	ACIBA 74463	Blood	N/S MDR					
ACIBA 74464	NBT:74464ACIBA	ACIBA 74464	Blood	N/S MDR					
ACIBA 74465	NBT:74465ACIBA	ACIBA 74465	Blood	N/S MDR					
ACIBA 74466	NBT:74466ACIBA	ACIBA 74466	Blood	N/S MDR					
ACIBA 74468	NBT:74468ACIBA	ACIBA 74468	Blood	N/S MDR					
ACIBA 74469	NBT:74469ACIBA	ACIBA 74469	Blood	N/S MDR					
ACIBA 74471	NBT:74471ACIBA	ACIBA 74471	Blood	N/S MDR					
ACIBA 74472	NBT:74472ACIBA	ACIBA 74472	Blood	N/S MDR					
ACIBA 74474	NBT:74474ACIBA	ACIBA 74474	Blood	N/S MDR					
ACIBA 74476	NBT:74476ACIBA	ACIBA 74476	Blood	N/S MDR					
ACIBA 74477	NBT:74477ACIBA	ACIBA 74477	Blood	N/S MDR					
ACIBA 74478	NBT:74478ACIBA	ACIBA 74478	Blood	N/S MDR					
ACIBA 74480	NBT:74480ACIBA	ACIBA 74480	Blood	N/S MDR					
ACIBA 74818	NBT:74818ACIBA	ACIBA 74818	Blood	Quinolone S					
ACIBA 75200	NBT:75200ACIBA	ACIBA 75200	Sputum	CARBR					
ACIBA 75201	NBT:75201ACIBA	ACIBA 75201	Sputum	CARBR					
ACIBA 75815	NBT:75815ACIBA	ACIBA 75815	Blood	N/S					
ACIBA 76025	NBT:76025ACIBA	ACIBA 76025	Blood	CARBR					
ACIBA 76324	NBT:76324ACIBA	ACIBA 76324	Sputum	Quinolone S					
ACIBA 76483	NBT:76483ACIBA	ACIBA 76483	Blood	N/S					
ACIBA 77301	NBT:77301ACIBA	ACIBA 77301	Sputum	N/S					
ACIBA 79515	NBT:79515ACIBA	ACIBA 79515	Blood	R Quinolone					
ACIBA 80652	NBT:80652ACIBA	ACIBA 80652	Blood	R Quinolone					
ACIBA 82221	NBT:82221ACIBA	ACIBA 82221	Blood	Quinolone S					
ACIBA 84263.A	NBT:84263ACIBA.A	ACIBA 84263.A	Blood	Quinolone S					
ACIBA 84263.B	NBT:84263ACIBA.B	ACIBA 84263.B	Blood	Quinolone S					
ACIBA 84268	NBT:84268ACIBA	ACIBA 84268	Blood	Quinolone S					
ACIBA 84614	NBT:84614ACIBA	ACIBA 84614	Blood	R Quinolone					
ACIBA 85831	NBT:85831ACIBA	ACIBA 85831	Blood	Quinolone S					
ACIBA 86029	NBT:86029ACIBA	ACIBA 86029	Blood	N/S					
ACIBA 87000	NBT:87000ACIBA	ACIBA 87000	Blood	Quinolone S					
ACIBA 87076	NBT:87076ACIBA	ACIBA 87076	Blood	Quinolone S					
