STUDYID	EXPID	CPD_ID	BATCH_ID	EXT_CPD_ID	EXT_BATCH_ID	SITE	PROVENANCE	EXPERIMENT_DATE	BIOMATERIAL	SPECIES_NAME	BACTERIAL_STRAIN_NAME	BACTERIAL_STRAIN_SITE_REF	EXPERIMENT_TYPE	PROTOCOL_NAME	No of replicates	RESULT_TYPE	STATISTICAL_METHOD	RESULT_OPERATOR	RESULT_VALUE	RESULT_UNIT	MEDIUM	CONTROL_GROUP	RESULT_STATUS	COMMENTS	BIOMATERIAL_annotation	BACTERIAL_STRAIN_NAME_annotation	EXPERIMENT_TYPE_annotation	MEDIUM_annotation	RESULT_UNIT_annotation	SPECIES_NAME_annotation	STATISTICAL_METHOD_annotation
GNA-NOW_EMC_01	ELN-AK-25667	CPD_0001	BATCH_ID_AYC789	Compound-A-0001	BATCH-AYC	EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria		ESCCO 25922		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf		FoR	Single value	=	1.964285714e-07	No Unit	MHB with agarose	plates without compound	V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': nan, 'name': 'ESCCO 25922', 'sample': nan, 'category': nan}	{'curie': 'GNA:00010', 'name': 'FoR', 'experimental_type': 'Frequency of resistance', 'modified_name': 'Frequency of resistance', 'definition': 'Frequency of resistance'}	{'curie': 'ARO:3004424', 'name': 'MHB with agarose', 'medium_acronym': 'MHB', 'medium_name': 'Mueller-Hinton Broth (MHB)', 'medium_pH': nan, 'medium_additives': 'agarose'}	{'curie': 'GNA:00024', 'name': 'No Unit', 'unit_full_name': nan}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
GNA-NOW_EMC_01	ELN-AK-25667	CPD_0002	BATCH_ID_DGZ159			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria		ESCCO 25922		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf		FoR	Single value	=	5.714285714e-07	No Unit	MHB with agarose	plates without compound	V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': nan, 'name': 'ESCCO 25922', 'sample': nan, 'category': nan}	{'curie': 'GNA:00010', 'name': 'FoR', 'experimental_type': 'Frequency of resistance', 'modified_name': 'Frequency of resistance', 'definition': 'Frequency of resistance'}	{'curie': 'ARO:3004424', 'name': 'MHB with agarose', 'medium_acronym': 'MHB', 'medium_name': 'Mueller-Hinton Broth (MHB)', 'medium_pH': nan, 'medium_additives': 'agarose'}	{'curie': 'GNA:00024', 'name': 'No Unit', 'unit_full_name': nan}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
GNA-NOW_EMC_01	ELN-AK-25667	CPD_0003	BATCH_ID_MKG248			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria		ESCCO 25922		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf		FoR	Single value	<	0.0	No Unit	MHB with agarose	plates without compound	V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': nan, 'name': 'ESCCO 25922', 'sample': nan, 'category': nan}	{'curie': 'GNA:00010', 'name': 'FoR', 'experimental_type': 'Frequency of resistance', 'modified_name': 'Frequency of resistance', 'definition': 'Frequency of resistance'}	{'curie': 'ARO:3004424', 'name': 'MHB with agarose', 'medium_acronym': 'MHB', 'medium_name': 'Mueller-Hinton Broth (MHB)', 'medium_pH': nan, 'medium_additives': 'agarose'}	{'curie': 'GNA:00024', 'name': 'No Unit', 'unit_full_name': nan}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
GNA-NOW_EMC_01	ELN-AK-25667	CPD_0004	BATCH_ID_BDO149			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria		ESCCO 25922		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf		FoR	Single value	=	3.57e-09	No Unit	MHB with agarose	plates without compound	V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': nan, 'name': 'ESCCO 25922', 'sample': nan, 'category': nan}	{'curie': 'GNA:00010', 'name': 'FoR', 'experimental_type': 'Frequency of resistance', 'modified_name': 'Frequency of resistance', 'definition': 'Frequency of resistance'}	{'curie': 'ARO:3004424', 'name': 'MHB with agarose', 'medium_acronym': 'MHB', 'medium_name': 'Mueller-Hinton Broth (MHB)', 'medium_pH': nan, 'medium_additives': 'agarose'}	{'curie': 'GNA:00024', 'name': 'No Unit', 'unit_full_name': nan}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
GNA-NOW_EMC_01	ELN-AK-25667	CPD_0005	BATCH_ID_JNZ135			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria		ENTEBU 86397		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf		FoR	Single value	=	2.75666291e-08	No Unit	MHB with agarose	plates without compound	V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:86397ENTEBU', 'name': 'ENTEBU 86397', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'GNA:00010', 'name': 'FoR', 'experimental_type': 'Frequency of resistance', 'modified_name': 'Frequency of resistance', 'definition': 'Frequency of resistance'}	{'curie': 'ARO:3004424', 'name': 'MHB with agarose', 'medium_acronym': 'MHB', 'medium_name': 'Mueller-Hinton Broth (MHB)', 'medium_pH': nan, 'medium_additives': 'agarose'}	{'curie': 'GNA:00024', 'name': 'No Unit', 'unit_full_name': nan}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
GNA-NOW_EMC_01	ELN-AK-25667	CPD_0006	BATCH_ID_OLA378			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria		ENTEBU 86397		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf		FoR	Single value	=	7.62481231e-08	No Unit	MHB with agarose	plates without compound	V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:86397ENTEBU', 'name': 'ENTEBU 86397', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'GNA:00010', 'name': 'FoR', 'experimental_type': 'Frequency of resistance', 'modified_name': 'Frequency of resistance', 'definition': 'Frequency of resistance'}	{'curie': 'ARO:3004424', 'name': 'MHB with agarose', 'medium_acronym': 'MHB', 'medium_name': 'Mueller-Hinton Broth (MHB)', 'medium_pH': nan, 'medium_additives': 'agarose'}	{'curie': 'GNA:00024', 'name': 'No Unit', 'unit_full_name': nan}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
GNA-NOW_EMC_01	ELN-AK-25667	CPD_0007	BATCH_ID_PLA886			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria		ENTEBU 86397		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf		FoR	Single value	<	0.0	No Unit	MHB with agarose	plates without compound	V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:86397ENTEBU', 'name': 'ENTEBU 86397', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'GNA:00010', 'name': 'FoR', 'experimental_type': 'Frequency of resistance', 'modified_name': 'Frequency of resistance', 'definition': 'Frequency of resistance'}	{'curie': 'ARO:3004424', 'name': 'MHB with agarose', 'medium_acronym': 'MHB', 'medium_name': 'Mueller-Hinton Broth (MHB)', 'medium_pH': nan, 'medium_additives': 'agarose'}	{'curie': 'GNA:00024', 'name': 'No Unit', 'unit_full_name': nan}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
GNA-NOW_EMC_01	ELN-AK-25667	CPD_0008	BATCH_ID_GFR238			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria		ENTEBU 86397		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf		FoR	Single value	=	0.0	No Unit	MHB with agarose	plates without compound	V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': 'NBT:86397ENTEBU', 'name': 'ENTEBU 86397', 'sample': 'Blood', 'category': 'Quinolone S'}	{'curie': 'GNA:00010', 'name': 'FoR', 'experimental_type': 'Frequency of resistance', 'modified_name': 'Frequency of resistance', 'definition': 'Frequency of resistance'}	{'curie': 'ARO:3004424', 'name': 'MHB with agarose', 'medium_acronym': 'MHB', 'medium_name': 'Mueller-Hinton Broth (MHB)', 'medium_pH': nan, 'medium_additives': 'agarose'}	{'curie': 'GNA:00024', 'name': 'No Unit', 'unit_full_name': nan}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
GNA-NOW_EMC_01	ELN-AK-25667	CPD_0009	BATCH_ID_ASV127			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria		KLEPN 43816		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf		FoR	Single value	<	0.0	No Unit	MHB with agarose	plates without compound	V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': nan, 'name': 'KLEPN 43816', 'sample': nan, 'category': nan}	{'curie': 'GNA:00010', 'name': 'FoR', 'experimental_type': 'Frequency of resistance', 'modified_name': 'Frequency of resistance', 'definition': 'Frequency of resistance'}	{'curie': 'ARO:3004424', 'name': 'MHB with agarose', 'medium_acronym': 'MHB', 'medium_name': 'Mueller-Hinton Broth (MHB)', 'medium_pH': nan, 'medium_additives': 'agarose'}	{'curie': 'GNA:00024', 'name': 'No Unit', 'unit_full_name': nan}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
GNA-NOW_EMC_01	ELN-AK-25667	CPD_0010	BATCH_ID_MKL369			EMC	EMC@GNA-NOW.com	13/5/2021	Bacteria		KLEPN 43816		FoR	GNA-NOW_EMC_FoR_protocol_v01.pdf		FoR	Single value	=	0.0	No Unit	MHB with agarose	plates without compound	V (valid)		{'curie': 'NCBITaxon:2', 'name': 'Bacteria'}	{'curie': nan, 'name': 'KLEPN 43816', 'sample': nan, 'category': nan}	{'curie': 'GNA:00010', 'name': 'FoR', 'experimental_type': 'Frequency of resistance', 'modified_name': 'Frequency of resistance', 'definition': 'Frequency of resistance'}	{'curie': 'ARO:3004424', 'name': 'MHB with agarose', 'medium_acronym': 'MHB', 'medium_name': 'Mueller-Hinton Broth (MHB)', 'medium_pH': nan, 'medium_additives': 'agarose'}	{'curie': 'GNA:00024', 'name': 'No Unit', 'unit_full_name': nan}		{'curie': 'NCIT:C25712', 'name': 'Single value', 'statistical_method': 'Value'}
